absence_days,biology_score,career_aspiration,chemistry_score,economics_score,email,english_score,extracurricular_activities,first_name,gender,geography_score,history_score,id,last_name,math_score,part_time_job,physics_score,weekly_self_study_hours
4,94,Banker,88,,miguel.martinez.39@gslingacademy.com,82,False,Miguel,male,78,64,39,Martinez,77,False,64,21
4,60,Accountant,87,87.0,christopher.taylor.40@gslingacademy.com,83,False,Christopher,male,95,60,40,Taylor,93,False,66,18
4,79,Software Engineer,90,,emily.holloway.41@gslingacademy.com,81,False,Emily,female,81,97,41,Holloway,91,False,87,36
7,88,Business Owner,50,,jesus.rasmussen.42@gslingacademy.com,56,True,Jesus,male,75,55,42,Rasmussen,77,True,66,4
6,87,Business Owner,77,,lauren.farmer.43@gslingacademy.com,98,True,Lauren,female,70,94,43,Farmer,80,True,92,3
4,91,Game Developer,96,,pamela.cole.44@gslingacademy.com,68,False,Pamela,female,66,99,44,Cole,87,False,82,20
4,53,Business Owner,57,,david.gillespie.45@gslingacademy.com,95,True,David,male,79,99,45,Gillespie,74,True,79,3
5,84,Business Owner,58,,kenneth.davis.46@gslingacademy.com,53,True,Kenneth,male,84,53,46,Davis,81,True,50,5
5,100,Lawyer,68,,elizabeth.martin.47@gslingacademy.com,93,True,Elizabeth,female,87,93,47,Martin,71,False,93,27
0,97,Stock Investor,70,,billy.soto.48@gslingacademy.com,65,True,Billy,male,65,82,48,Soto,89,False,74,28
4,64,Unknown,80,,kimberly.kelly.49@gslingacademy.com,68,False,Kimberly,female,100,78,49,Kelly,80,False,86,32
0,30,Accountant,93,90.0,sonia.noble.50@gslingacademy.com,83,False,Sonia,female,74,89,50,Noble,95,False,90,14
6,89,Stock Investor,65,,christopher.stewart.51@gslingacademy.com,87,True,Christopher,male,94,76,51,Stewart,88,False,96,16
2,85,Lawyer,70,,sandra.thornton.52@gslingacademy.com,86,True,Sandra,female,61,97,52,Thornton,99,False,73,24
9,82,Business Owner,81,,luke.shannon.53@gslingacademy.com,51,True,Luke,male,79,70,53,Shannon,79,False,61,0
3,89,Banker,61,,lindsay.pruitt.54@gslingacademy.com,98,False,Lindsay,female,68,96,54,Pruitt,90,False,86,32
2,60,Game Developer,68,,jamie.taylor.55@gslingacademy.com,77,False,Jamie,male,83,100,55,Taylor,88,False,83,32
6,76,Software Engineer,88,,jennifer.murphy.56@gslingacademy.com,71,False,Jennifer,female,99,60,56,Murphy,99,False,94,32
3,87,Unknown,86,,melissa.lee.57@gslingacademy.com,81,False,Melissa,female,62,72,57,Lee,95,False,79,21
2,67,Banker,97,,david.vaughn.58@gslingacademy.com,78,False,David,male,99,78,58,Vaughn,94,True,73,18
7,91,Software Engineer,96,,jacob.hanson.59@gslingacademy.com,95,False,Jacob,male,77,89,59,Hanson,98,False,90,33
4,85,Software Engineer,79,,casey.may.60@gslingacademy.com,96,False,Casey,male,98,99,60,May,93,False,91,36
2,78,Game Developer,71,,michelle.roman.61@gslingacademy.com,83,False,Michelle,female,76,81,61,Roman,85,False,80,25
5,99,Lawyer,99,,brittany.koch.62@gslingacademy.com,85,True,Brittany,female,73,97,62,Koch,83,False,61,33
7,52,Business Owner,64,,brian.lewis.63@gslingacademy.com,96,True,Brian,male,79,65,63,Lewis,70,False,53,2
1,67,Banker,88,,veronica.cameron.64@gslingacademy.com,95,False,Veronica,female,69,97,64,Cameron,83,False,65,34
2,63,Construction Engineer,70,,eric.reyes.65@gslingacademy.com,80,False,Eric,male,78,73,65,Reyes,89,False,91,18
6,76,Business Owner,74,,kristy.weber.66@gslingacademy.com,96,True,Kristy,female,83,54,66,Weber,80,True,77,2
3,100,Software Engineer,69,,anthony.smith.67@gslingacademy.com,71,False,Anthony,male,80,86,67,Smith,95,False,85,29
2,72,Real Estate Developer,76,,steven.stephens.68@gslingacademy.com,97,False,Steven,male,87,64,68,Stephens,81,False,73,8
4,81,Software Engineer,60,,henry.davis.69@gslingacademy.com,71,False,Henry,male,88,70,69,Davis,96,False,91,28
10,91,Banker,69,,raymond.shea.70@gslingacademy.com,87,True,Raymond,male,83,81,70,Shea,99,False,96,22
1,86,Designer,81,,jill.perez.71@gslingacademy.com,81,True,Jill,female,70,66,71,Perez,89,False,93,15
3,93,Writer,83,,kimberly.bonilla.72@gslingacademy.com,90,True,Kimberly,female,73,86,72,Bonilla,62,True,93,22
10,59,Business Owner,64,,louis.edwards.73@gslingacademy.com,78,True,Louis,male,71,70,73,Edwards,77,True,69,1
8,99,Business Owner,87,,michael.hodge.74@gslingacademy.com,58,True,Michael,male,79,54,74,Hodge,78,True,66,3
2,73,Software Engineer,68,,anna.li.75@gslingacademy.com,81,False,Anna,female,87,100,75,Li,99,False,94,31
7,100,Software Engineer,92,,andrea.case.76@gslingacademy.com,98,True,Andrea,female,77,90,76,Case,91,False,91,34
3,89,Software Engineer,90,,jennifer.garcia.77@gslingacademy.com,99,False,Jennifer,female,80,63,77,Garcia,93,False,85,31
1,74,Unknown,93,,rhonda.davenport.78@gslingacademy.com,93,True,Rhonda,female,65,91,78,Davenport,75,False,80,5
7,68,Unknown,63,,chelsea.craig.79@gslingacademy.com,77,False,Chelsea,female,64,94,79,Craig,88,False,80,34
3,93,Software Engineer,68,,shawn.chase.80@gslingacademy.com,75,False,Shawn,male,92,79,80,Chase,93,False,87,38
3,62,Business Owner,92,,elizabeth.calhoun.81@gslingacademy.com,58,True,Elizabeth,female,73,67,81,Calhoun,80,True,94,3
1,91,Stock Investor,85,,lisa.harris.82@gslingacademy.com,61,False,Lisa,female,67,76,82,Harris,81,False,83,15
7,95,Government Officer,63,,carol.snyder.83@gslingacademy.com,82,False,Carol,female,90,89,83,Snyder,60,False,61,11
7,88,Scientist,98,,charles.butler.84@gslingacademy.com,93,False,Charles,male,72,65,84,Butler,90,False,94,48
3,65,Unknown,71,,james.dawson.85@gslingacademy.com,73,False,James,male,87,67,85,Dawson,73,False,70,28
1,70,Software Engineer,80,,dennis.kim.86@gslingacademy.com,77,False,Dennis,male,66,71,86,Kim,92,False,92,39
2,92,Government Officer,72,,jennifer.berry.87@gslingacademy.com,75,False,Jennifer,female,85,92,87,Berry,91,False,71,9
3,81,Software Engineer,89,,yvette.bridges.88@gslingacademy.com,63,True,Yvette,female,70,95,88,Bridges,99,False,88,38
3,69,Stock Investor,87,,robert.atkins.89@gslingacademy.com,89,False,Robert,male,100,74,89,Atkins,82,False,68,16
3,62,Software Engineer,80,,william.brown.90@gslingacademy.com,85,False,William,male,73,75,90,Brown,98,False,90,31
0,32,Accountant,73,87.0,patrick.parker.91@gslingacademy.com,65,False,Patrick,male,68,78,91,Parker,91,False,95,14
4,62,Government Officer,63,,james.santiago.92@gslingacademy.com,79,False,James,male,90,93,92,Santiago,68,False,95,10
5,87,Software Engineer,77,,robert.parsons.93@gslingacademy.com,98,False,Robert,male,83,73,93,Parsons,90,False,93,25
4,84,Stock Investor,76,,jacob.brown.94@gslingacademy.com,67,False,Jacob,male,86,70,94,Brown,80,False,79,34
5,64,Unknown,96,,natalie.robinson.95@gslingacademy.com,93,False,Natalie,female,85,79,95,Robinson,78,False,73,3
2,81,Software Engineer,85,,victoria.jones.96@gslingacademy.com,64,True,Victoria,female,94,98,96,Jones,95,False,94,25
3,42,Artist,45,,natasha.hansen.97@gslingacademy.com,88,True,Natasha,female,47,89,97,Hansen,49,False,40,5
3,79,Real Estate Developer,98,,thomas.white.98@gslingacademy.com,72,False,Thomas,male,89,89,98,White,87,False,93,4
0,96,Lawyer,61,,derrick.figueroa.99@gslingacademy.com,89,True,Derrick,male,86,97,99,Figueroa,100,True,85,28
0,99,Game Developer,69,,kimberly.ward.100@gslingacademy.com,93,False,Kimberly,female,98,89,100,Ward,86,False,83,27
2,44,Artist,36,,rhonda.jones.101@gslingacademy.com,90,True,Rhonda,female,42,81,101,Jones,35,False,42,7
2,81,Software Engineer,61,,abigail.perez.102@gslingacademy.com,98,False,Abigail,female,65,80,102,Perez,99,False,93,39
5,73,Writer,74,,james.yang.103@gslingacademy.com,93,True,James,male,99,83,103,Yang,76,False,64,29
6,48,Artist,39,,stephen.patton.104@gslingacademy.com,85,True,Stephen,male,39,86,104,Patton,37,True,48,7
7,87,Business Owner,91,,emma.wright.105@gslingacademy.com,78,True,Emma,female,72,60,105,Wright,81,False,100,2
2,62,Real Estate Developer,89,,cynthia.brown.106@gslingacademy.com,95,False,Cynthia,female,87,97,106,Brown,80,False,62,0
3,94,Accountant,89,85.0,erin.kelley.107@gslingacademy.com,95,False,Erin,female,84,80,107,Kelley,99,False,97,16
3,81,Scientist,90,,benjamin.morse.108@gslingacademy.com,77,True,Benjamin,male,86,81,108,Morse,85,False,92,39
1,61,Unknown,61,,alexandra.gibson.109@gslingacademy.com,87,False,Alexandra,female,95,93,109,Gibson,91,False,72,4
5,64,Accountant,60,89.0,phillip.allen.110@gslingacademy.com,77,True,Phillip,male,82,69,110,Allen,93,False,82,13
4,89,Stock Investor,83,,joshua.gonzalez.111@gslingacademy.com,90,False,Joshua,male,64,70,111,Gonzalez,89,False,89,24
9,50,Business Owner,57,,erin.jones.112@gslingacademy.com,54,True,Erin,female,70,54,112,Jones,80,True,85,2
2,57,Business Owner,76,,charles.hayes.113@gslingacademy.com,93,True,Charles,male,76,85,113,Hayes,77,True,94,4
1,61,Banker,97,,kelsey.brown.114@gslingacademy.com,76,False,Kelsey,female,81,75,114,Brown,92,False,65,22
6,64,Business Owner,75,,robert.turner.115@gslingacademy.com,94,True,Robert,male,81,65,115,Turner,74,False,91,0
2,72,Unknown,65,,robert.hill.116@gslingacademy.com,84,False,Robert,male,77,66,116,Hill,96,False,69,24
6,54,Business Owner,55,,alyssa.ritter.117@gslingacademy.com,97,True,Alyssa,female,82,71,117,Ritter,71,False,50,1
1,74,Unknown,70,,beth.bell.118@gslingacademy.com,63,False,Beth,female,75,96,118,Bell,68,False,64,19
1,60,Software Engineer,65,,andrew.dixon.119@gslingacademy.com,63,True,Andrew,male,93,73,119,Dixon,98,False,91,28
6,55,Business Owner,74,,crystal.walker.120@gslingacademy.com,60,True,Crystal,female,81,93,120,Walker,74,False,67,5
0,76,Teacher,80,,jordan.bennett.121@gslingacademy.com,85,False,Jordan,female,91,82,121,Bennett,66,True,83,27
4,96,Doctor,67,,antonio.caldwell.122@gslingacademy.com,60,False,Antonio,male,67,75,122,Caldwell,68,False,73,26
4,91,Doctor,66,,jacob.reyes.123@gslingacademy.com,68,False,Jacob,male,77,67,123,Reyes,68,False,80,41
3,93,Doctor,72,,wendy.lewis.124@gslingacademy.com,74,False,Wendy,female,60,76,124,Lewis,66,False,81,47
2,81,Unknown,89,,jennifer.miller.125@gslingacademy.com,72,False,Jennifer,female,71,62,125,Miller,69,False,82,9
4,60,Unknown,69,,lisa.ware.126@gslingacademy.com,89,False,Lisa,female,71,95,126,Ware,77,False,98,7
1,87,Game Developer,87,,brian.lee.127@gslingacademy.com,68,False,Brian,male,78,67,127,Lee,92,False,87,20
4,86,Accountant,83,85.0,mario.taylor.128@gslingacademy.com,77,True,Mario,male,75,67,128,Taylor,99,False,80,14
4,96,Unknown,70,,amanda.williamson.129@gslingacademy.com,69,False,Amanda,female,86,70,129,Williamson,82,False,80,26
6,87,Unknown,90,,michael.miller.130@gslingacademy.com,68,True,Michael,male,69,97,130,Miller,99,False,64,27
5,63,Stock Investor,85,,amanda.vasquez.131@gslingacademy.com,84,False,Amanda,female,87,83,131,Vasquez,89,True,90,25
4,67,Banker,63,,chelsea.obrien.132@gslingacademy.com,92,False,Chelsea,female,69,82,132,Obrien,95,True,66,16
4,99,Software Engineer,80,,tina.perkins.133@gslingacademy.com,69,False,Tina,female,79,63,133,Perkins,95,False,86,38
6,85,Business Owner,56,,cory.perez.134@gslingacademy.com,93,True,Cory,male,81,52,134,Perez,83,True,53,0
1,85,Designer,96,,christopher.jenkins.135@gslingacademy.com,87,True,Christopher,male,74,62,135,Jenkins,87,False,87,12
2,83,Designer,75,,joanne.campos.136@gslingacademy.com,82,True,Joanne,female,86,83,136,Campos,62,False,84,17
2,81,Banker,78,,david.patel.137@gslingacademy.com,96,False,David,male,76,65,137,Patel,85,False,60,12
1,61,Banker,67,,michelle.hill.138@gslingacademy.com,90,True,Michelle,female,95,97,138,Hill,79,False,76,11
4,68,Software Engineer,96,,jessica.boyd.139@gslingacademy.com,82,False,Jessica,female,81,94,139,Boyd,96,False,87,26
2,99,Doctor,78,,lawrence.russell.140@gslingacademy.com,83,False,Lawrence,male,72,73,140,Russell,79,False,78,23
0,77,Software Engineer,81,,james.singh.141@gslingacademy.com,67,False,James,male,93,69,141,Singh,91,False,89,36
2,40,Artist,36,,marc.villanueva.142@gslingacademy.com,85,True,Marc,male,35,82,142,Villanueva,46,True,39,4
1,60,Lawyer,96,,cathy.wilson.143@gslingacademy.com,90,True,Cathy,female,100,94,143,Wilson,70,False,79,29
3,80,Software Engineer,99,,adam.mitchell.144@gslingacademy.com,80,True,Adam,male,75,68,144,Mitchell,93,False,92,36
0,86,Game Developer,61,,sherry.phillips.145@gslingacademy.com,72,False,Sherry,female,88,79,145,Phillips,86,False,89,21
3,100,Real Estate Developer,94,,victor.jones.146@gslingacademy.com,98,False,Victor,male,92,72,146,Jones,82,False,68,6
8,68,Business Owner,93,,mark.young.147@gslingacademy.com,58,True,Mark,male,72,97,147,Young,73,False,51,2
0,96,Lawyer,79,,matthew.jackson.148@gslingacademy.com,85,True,Matthew,male,74,95,148,Jackson,92,False,65,34
4,94,Unknown,99,,tanya.nichols.149@gslingacademy.com,75,True,Tanya,female,74,91,149,Nichols,69,False,82,22
5,82,Business Owner,65,,julie.gray.150@gslingacademy.com,71,True,Julie,female,72,72,150,Gray,76,True,72,4
3,73,Unknown,73,,courtney.perry.151@gslingacademy.com,61,False,Courtney,female,60,92,151,Perry,86,False,79,3
10,50,Business Owner,56,,stephen.rodriguez.152@gslingacademy.com,98,True,Stephen,male,77,57,152,Rodriguez,79,True,97,2
5,84,Unknown,72,,elizabeth.robinson.153@gslingacademy.com,90,False,Elizabeth,female,82,100,153,Robinson,91,False,84,18
0,65,Real Estate Developer,70,,william.graves.154@gslingacademy.com,68,False,William,male,94,67,154,Graves,89,False,82,8
1,73,Software Engineer,84,,nancy.moore.155@gslingacademy.com,81,False,Nancy,female,98,73,155,Moore,96,False,94,36
0,80,Unknown,74,,matthew.newman.156@gslingacademy.com,92,True,Matthew,male,65,71,156,Newman,96,False,88,13
0,76,Unknown,90,,anita.moore.157@gslingacademy.com,64,True,Anita,female,95,99,157,Moore,66,False,85,17
8,58,Business Owner,66,,brian.sanchez.158@gslingacademy.com,69,True,Brian,male,77,54,158,Sanchez,73,True,62,1
7,62,Business Owner,61,,dennis.phillips.159@gslingacademy.com,72,True,Dennis,male,82,64,159,Phillips,77,True,97,3
4,65,Unknown,82,,michael.rivas.160@gslingacademy.com,76,True,Michael,male,79,66,160,Rivas,88,True,96,33
1,76,Unknown,61,,ryan.smith.161@gslingacademy.com,72,False,Ryan,male,87,64,161,Smith,92,False,77,12
3,65,Construction Engineer,88,,anthony.sullivan.162@gslingacademy.com,76,False,Anthony,male,72,66,162,Sullivan,85,True,92,24
4,93,Construction Engineer,79,,troy.shepherd.163@gslingacademy.com,97,False,Troy,male,91,88,163,Shepherd,90,False,93,33
1,91,Doctor,70,,nicholas.clayton.164@gslingacademy.com,78,True,Nicholas,male,70,73,164,Clayton,63,False,62,44
1,90,Teacher,60,,denise.schneider.165@gslingacademy.com,84,False,Denise,female,88,81,165,Schneider,88,False,96,21
2,77,Game Developer,98,,lisa.silva.166@gslingacademy.com,80,False,Lisa,female,73,81,166,Silva,89,False,86,26
7,64,Business Owner,65,,laura.reilly.167@gslingacademy.com,81,True,Laura,female,74,76,167,Reilly,73,True,71,5
5,69,Unknown,68,,amy.peterson.168@gslingacademy.com,92,False,Amy,female,76,94,168,Peterson,89,False,67,22
1,71,Unknown,96,,fernando.sexton.169@gslingacademy.com,97,False,Fernando,male,66,96,169,Sexton,97,False,66,9
4,73,Software Engineer,97,,evan.christian.170@gslingacademy.com,84,True,Evan,male,99,62,170,Christian,94,False,85,32
1,65,Lawyer,99,,rebecca.norris.171@gslingacademy.com,94,True,Rebecca,female,71,92,171,Norris,91,False,76,34
4,74,Stock Investor,85,,erica.marks.172@gslingacademy.com,64,False,Erica,female,81,71,172,Marks,84,False,65,25
5,68,Accountant,76,89.0,rhonda.webster.173@gslingacademy.com,83,True,Rhonda,female,79,66,173,Webster,93,False,89,31
1,77,Lawyer,68,,john.bennett.174@gslingacademy.com,94,True,John,male,81,94,174,Bennett,100,False,75,33
10,57,Business Owner,83,,amanda.murphy.175@gslingacademy.com,81,True,Amanda,female,75,100,175,Murphy,83,False,80,3
2,84,Unknown,75,,jeremy.barnes.176@gslingacademy.com,78,False,Jeremy,male,90,100,176,Barnes,68,False,89,20
3,95,Accountant,75,87.0,john.brown.177@gslingacademy.com,90,False,John,male,83,92,177,Brown,99,False,95,15
3,85,Banker,88,,traci.boyd.178@gslingacademy.com,91,False,Traci,female,61,94,178,Boyd,76,False,77,26
5,95,Software Engineer,94,,elizabeth.butler.179@gslingacademy.com,98,False,Elizabeth,female,89,99,179,Butler,96,False,86,31
4,97,Construction Engineer,73,,alex.clark.180@gslingacademy.com,66,False,Alex,male,79,73,180,Clark,86,False,85,12
2,72,Unknown,87,,christopher.wolfe.181@gslingacademy.com,80,True,Christopher,male,93,69,181,Wolfe,68,False,86,5
1,100,Lawyer,70,,jason.bell.182@gslingacademy.com,93,True,Jason,male,62,94,182,Bell,73,False,75,31
3,91,Unknown,96,,victoria.donaldson.183@gslingacademy.com,93,True,Victoria,female,85,90,183,Donaldson,65,False,75,28
8,91,Business Owner,86,,logan.cox.184@gslingacademy.com,88,True,Logan,male,77,79,184,Cox,72,False,75,5
1,81,Software Engineer,77,,rachel.hill.185@gslingacademy.com,69,False,Rachel,female,95,84,185,Hill,92,False,87,38
3,49,Artist,49,,jenny.lloyd.186@gslingacademy.com,84,True,Jenny,female,44,90,186,Lloyd,39,False,39,5
5,65,Real Estate Developer,99,,joan.cohen.187@gslingacademy.com,84,True,Joan,female,87,99,187,Cohen,79,False,64,9
2,54,Business Owner,97,,kimberly.lopez.188@gslingacademy.com,76,True,Kimberly,female,82,62,188,Lopez,75,True,86,0
5,100,Unknown,96,,steven.walker.189@gslingacademy.com,89,False,Steven,male,67,77,189,Walker,70,False,91,26
5,89,Scientist,96,,sonia.bowers.190@gslingacademy.com,99,False,Sonia,female,87,79,190,Bowers,94,False,97,42
7,92,Game Developer,83,,penny.perez.191@gslingacademy.com,90,False,Penny,female,60,82,191,Perez,92,False,89,34
1,88,Software Engineer,80,,mike.harris.192@gslingacademy.com,61,True,Mike,male,85,66,192,Harris,90,False,92,34
2,96,Game Developer,74,,vanessa.sweeney.193@gslingacademy.com,71,False,Vanessa,female,80,90,193,Sweeney,87,False,85,34
5,68,Stock Investor,100,,adam.edwards.194@gslingacademy.com,66,False,Adam,male,69,80,194,Edwards,88,False,82,9
2,82,Scientist,99,,angelica.johnson.195@gslingacademy.com,70,False,Angelica,female,94,64,195,Johnson,85,False,98,41
3,65,Stock Investor,68,,tiffany.hernandez.196@gslingacademy.com,85,False,Tiffany,female,67,74,196,Hernandez,87,False,61,24
4,84,Software Engineer,87,,mark.myers.197@gslingacademy.com,83,False,Mark,male,64,69,197,Myers,93,False,85,25
2,83,Teacher,70,,erica.cochran.198@gslingacademy.com,88,False,Erica,female,67,85,198,Cochran,69,False,83,26
1,91,Software Engineer,96,,karen.watson.199@gslingacademy.com,61,False,Karen,female,94,72,199,Watson,92,False,88,32
3,60,Lawyer,88,,kathryn.frazier.200@gslingacademy.com,90,True,Kathryn,female,78,95,200,Frazier,94,False,65,34
1,60,Accountant,81,86.0,anthony.jackson.201@gslingacademy.com,79,True,Anthony,male,96,81,201,Jackson,95,False,100,34
6,93,Software Engineer,91,,jordan.perez.202@gslingacademy.com,80,True,Jordan,male,100,73,202,Perez,93,False,85,36
3,37,Accountant,80,91.0,jennifer.burgess.203@gslingacademy.com,80,False,Jennifer,female,71,62,203,Burgess,96,False,84,16
1,46,Accountant,92,94.0,christina.davis.204@gslingacademy.com,67,True,Christina,female,96,87,204,Davis,91,False,60,21
1,39,Artist,49,,april.ryan.205@gslingacademy.com,80,True,April,female,38,91,205,Ryan,46,False,43,5
3,90,Software Engineer,67,,maxwell.davis.206@gslingacademy.com,95,False,Maxwell,male,79,78,206,Davis,91,False,86,34
5,97,Unknown,94,,matthew.guzman.207@gslingacademy.com,77,False,Matthew,male,92,86,207,Guzman,99,False,68,0
3,62,Accountant,74,90.0,robert.mayer.208@gslingacademy.com,68,True,Robert,male,99,73,208,Mayer,93,False,77,12
2,86,Banker,71,,amanda.willis.209@gslingacademy.com,95,False,Amanda,female,76,83,209,Willis,75,False,70,22
1,60,Teacher,78,,michele.thomas.210@gslingacademy.com,87,True,Michele,female,86,89,210,Thomas,63,False,99,15
0,98,Doctor,73,,tim.turner.211@gslingacademy.com,80,False,Tim,male,82,81,211,Turner,61,False,74,41
4,84,Construction Engineer,73,,joe.strickland.212@gslingacademy.com,60,False,Joe,male,71,73,212,Strickland,94,False,91,32
1,93,Business Owner,97,,trevor.cruz.213@gslingacademy.com,89,True,Trevor,male,81,58,213,Cruz,81,True,60,4
1,91,Doctor,67,,melissa.roberts.214@gslingacademy.com,77,False,Melissa,female,83,68,214,Roberts,60,False,74,22
3,73,Banker,74,,tammy.miller.215@gslingacademy.com,98,False,Tammy,female,91,62,215,Miller,84,False,92,17
2,35,Artist,35,,chad.morgan.216@gslingacademy.com,88,True,Chad,male,45,89,216,Morgan,44,False,35,7
4,90,Banker,90,,samantha.maldonado.217@gslingacademy.com,76,False,Samantha,female,97,71,217,Maldonado,82,False,93,33
5,76,Banker,80,,marie.martin.218@gslingacademy.com,94,False,Marie,female,97,88,218,Martin,75,False,65,29
1,96,Unknown,72,,theresa.tucker.219@gslingacademy.com,70,False,Theresa,female,63,71,219,Tucker,66,True,94,27
6,68,Banker,76,,joseph.morris.220@gslingacademy.com,92,True,Joseph,male,72,88,220,Morris,99,False,72,34
3,75,Real Estate Developer,88,,charles.parker.221@gslingacademy.com,66,False,Charles,male,91,76,221,Parker,81,False,94,2
3,84,Software Engineer,95,,rachel.alvarez.222@gslingacademy.com,90,False,Rachel,female,74,87,222,Alvarez,99,False,93,29
7,66,Software Engineer,68,,charles.robertson.223@gslingacademy.com,90,False,Charles,male,99,61,223,Robertson,95,False,85,29
5,78,Designer,69,,steven.york.224@gslingacademy.com,85,True,Steven,male,72,72,224,York,65,False,96,15
7,66,Business Owner,71,,robert.dougherty.225@gslingacademy.com,50,True,Robert,male,71,55,225,Dougherty,77,False,74,4
7,71,Business Owner,72,,vanessa.wheeler.226@gslingacademy.com,96,True,Vanessa,female,78,78,226,Wheeler,76,False,57,3
7,97,Business Owner,65,,emily.mcclure.227@gslingacademy.com,83,True,Emily,female,79,76,227,Mcclure,72,False,88,3
